infonya,infonnya,pagi dok saya lagi hamil minggu pa boleh melakukan hubungan isuami istri pa tidak mengganggu janinnya tolong infonya ya dok thanks
tespek,test pack,saya anita sya mau tnya ciri ciri hamil itu seperti apa akhr ini sya merasa mual kepala pusing tp saya mencoba tes pakai tespek negatif kanapa saya ya dok 
kmrn,kemaren,dok sy mw tny sy dh pengeeeen bngt h tp haid sy krg tratur bln nov sy haid tgl des tgl jan tgl feb tgl kmrn dr dokter d ksh obat penyeimbang hormon gt yg mau sy tnykn kalo dilihat tgl haid sy itu masa subur sy bln ini tgl brp y dok sy berharap bln ini mksh jwbnnya dok 
mksh,terima kasih,saya haidnya tgl feb skrg sudah tgl maret waktu tgl feb aku cek negatif jadi sekarang takut aja ngecek lagi takut nrgatig lagi mba mksh sblmnya mba
stlh,setelah,sy udah nikah th bln stlh sy nikah sy hamil tetapi kgu ran kmd sy dkuret n bbrp bln stlh it sy d diagnosa mnderita kista n endometriosis stlh itu smpi dg skrng sy blm mndptkan tnda hamil ap yg harus sya lakukan apakah slain operasi tdk ad jln lainnya trima kasih
mnggu,minggu,dok sya msh pengantin baru bru mnggu sya menikah tp saya ingin cepat punya mo ngan ksh tw solusinya dong dok nnmakasih 
knpa,kenapa,dok knpa pertanyaanku tdk di jwb
gmna,bagaimana,selamat pagi anak sy umur bln sdh bln trakhr ini anak sy bab nya seminggu sekali anak sy ini asi pdhl sy sdh makan makanan brserat trs bubur dia jg sdh di ganti dgn bubur yg mlancarkan pncernaan tp tetap bab seminggu sekali gmna caranya ya biar amak sy bab lancar lg trs yg trjadi sm anak sy ini apakah normal makasih sebelumnya 
hmil,hamil,soree sy baru sj hmil ank prtama usia khmilan sy smpai hr ni masih dlm minggu yg sy mau tanyakan pd usia brp minggukah produksi asi itu muncul sy coba tnyakan kpd ibuk n krbat soal ni mrk mnjawab biasanya bln bln khmilan sudah mulai muncul asi tp kok sy blm ada tnda tsb dan jg di usia minggu ini berat badan sy msih stabil kg apakah itu tdk mmpengaruhi janin sy normal atau tdk itu kmren saat usg doktr yg mnangani sy blng tdk apa tp sy masih bingung sekian pertanyaab dr sy mohon informasinya ya dok krn ni ank prtma sy sy jd blm bgtu bnyak mngetahui soal khmilaann terimakasii 
smpe,sampai,selamat pagi mbak aku baru menikah bulan nov kemaren smpe skrg blm ada tanda hamil apa karena haid ku nggak lancar ya
mggu,minggu,sore dok saya punyak anak msh umur bln dy jg msi minum asi skr sya hamil mggu apa anak saya yg pertama harus brhenti minum asi mohom jwbny dok makash
mhon,mohon,dok sblm mnkh sy imunisasi tt ap hrus sy lanjutin smpai tt sdangkn saat ni sy blm hmil n ingn sgra mmlki anak mhon pnjlasany ttng amunisasi trmksh 
sprti,seperti,sore dok sy baru menikah bulan lalu sy ingin segera memiliki momongan akhrnya sy cek k dktr kandungan dn trnyata d saluran terdapat radang jadi sy diberi obt suntik o dokternya tp bulan maret ini sy tdk meminum obt yg dibrikan skr shrusnya sy dpt haid tgl tp trnyta mundur sehari dan haidnya hanya hari dan sdikit sekali kmudian ada lagi nanti tdk ada lagi sambil kadang disertainrasa nyeri perut bagian bawah kira sy knp ya dok krn sy tdk prnh sprti ini sblmnya trmkh dokter 
kmren,kemaren,soree sy baru sj hmil ank prtama usia khmilan sy smpai hr ni masih dlm minggu yg sy mau tanyakan pd usia brp minggukah produksi asi itu muncul sy coba tnyakan kpd ibuk n krbat soal ni mrk mnjawab biasanya bln bln khmilan sudah mulai muncul asi tp kok sy blm ada tnda tsb dan jg di usia minggu ini berat badan sy msih stabil kg apakah itu tdk mmpengaruhi janin sy normal atau tdk itu kmren saat usg doktr yg mnangani sy blng tdk apa tp sy masih bingung sekian pertanyaab dr sy mohon informasinya ya dok krn ni ank prtma sy sy jd blm bgtu bnyak mngetahui soal khmilaann terimakasii 
testpack,.,selamat pagi dokter hpht sy tgl maret dan sampe sekarang tgl april belum haid lg seminggu yg lalu keluar plek bercak darah tp cm hr ku kira mau haid tp setelah itu gak ada lg keluhan sy dipayudara yg menjadi besar puting gelap dan sakit klo disentuh dan sembelit tp sy tdk merasakan pusing mual spt yg dirasakan pd kehamilan pertama pertanyaannya apa ini tandanya sy hamil kalau sy testpack apa sudah bisa diketahui hasilnya mohon jawabannya terimakasih
khamilan,kehamilan ,dok jari tangan saya sring ksemutan di saat khamilan saya berumur bulan lebih saat ini khamilan sya sudah memasuki umur bulan apa yg harus di lakukan agar rasa sakit itu ilang dan obat atau vit apa yg bagus utk di konsumsi tks 
pdhl,padahal ,selamat pagi anak sy umur bln sdh bln trakhr ini anak sy bab nya seminggu sekali anak sy ini asi pdhl sy sdh makan makanan brserat trs bubur dia jg sdh di ganti dgn bubur yg mlancarkan pncernaan tp tetap bab seminggu sekali gmna caranya ya biar amak sy bab lancar lg trs yg trjadi sm anak sy ini apakah normal makasih sebelumnya 
tny,tanya,dok sy mw tny sy dh pengeeeen bngt h tp haid sy krg tratur bln nov sy haid tgl des tgl jan tgl feb tgl kmrn dr dokter d ksh obat penyeimbang hormon gt yg mau sy tnykn kalo dilihat tgl haid sy itu masa subur sy bln ini tgl brp y dok sy berharap bln ini mksh jwbnnya dok 
sdah,sudah ,hai bunda usia kelamilan sya sdah minggu sya jd khawatir soalnya d payu dara saya ada benjolan saya priksa k dokter katanya tumor jinak apakah nanti aman untuk memberikan asi pada bayi saya 
hrus,harus,dok sblm mnkh sy imunisasi tt ap hrus sy lanjutin smpai tt sdangkn saat ni sy blm hmil n ingn sgra mmlki anak mhon pnjlasany ttng amunisasi trmksh 
sblm,sebelum,sore mbak mohon info nya donk apakah boleh d usia kandungan week melakukan prjalanan selama jam menggunakan pesawat trims sblm nya
trmksh,terima kasih,dok sya sdh thn mnkh dan blm pnya ank stlah mnkh haid sya hya brlgsng hr dan slalu maju hr lbh awal dr bln sblmnya dan hari pertama haid sll skt yg sya tnyakan apj ney penyebab sya blm hamil dan apa masa haid sya lancar trmksh
mnum,minum ,selamat pagi saya memiliki bayi berusia hmpir bln semenjak usia krg lbh bln bayi saya mulai agak susah minum susu semakin lama malah semakin sulit bayi saya minum susu formula sedari lahir krna asi saya tidak kluar sekarang dia hanya minum susu cc sktr kali sehari itupun harus agak dipaksa karena anak saya sepertinya tdk pernh merasa lapar anak saya jg sangat suka menghisap jempolnya sampai menangis klo dilarang bgmana ya supaya anal saya mau minum susu saya sfh coba bbrp merk susu tp blm bhasil skrg bayi saya mnum susu formula yg ha karrna sering muntah 
dtg,datang,ass doc sy mau brtanya langsung tentang nyeri haid pas dtg bulan dr sy blm menikah hgga sy sudah punya anak knpa ms sering mrsakan sakit bila bulan sy dtang ats jwbnya trmksh bnyak 
knapa,kenapa,selamat siang rnaku mau tanya usia kehamilanku baru w knapa yah kadang jantungku suka berdebar lebih kencang 
priksa,periksa,hai bunda usia kelamilan sya sdah minggu sya jd khawatir soalnya d payu dara saya ada benjolan saya priksa k dokter katanya tumor jinak apakah nanti aman untuk memberikan asi pada bayi saya 
folavit,.,malam dok saya ingin mengikuti progmil minta sarannya jenis vit folavit dan natur e baik tidak dan untuk aturan pakainya dan dosisnya bagaimana biar nanti saya tidak bingung ketika pergi ke apotik makasih dok ditunggu jawaban nya 
jdi,jadi ,babyqu skrg umur bln dlu periang bgt tpi smenjak umur bln nd bza gigit bibirx dya jdi jarang senyum cemberut trus klo g lucu bgt gag mau ketawa 
slma,selama ,anak umr thn sdh skit tb pru n sdh mnum obt slma bln tpi tdk d rongen lgi jdi sku blm ykin apa yng hrus aku lkukan 
sblmnya,sebelumnya,dok sya sdh thn mnkh dan blm pnya ank stlah mnkh haid sya hya brlgsng hr dan slalu maju hr lbh awal dr bln sblmnya dan hari pertama haid sll skt yg sya tnyakan apj ney penyebab sya blm hamil dan apa masa haid sya lancar trmksh
skali,sekali,siang dok dok sya prtma haid bln ini tggl dn brhnti tgll nah tgl itu sya berhubungan hri ini kok sya mrsakn dr smlm kok perut bag bwah sblh kiri kedutan dn kdg pindah k kanan p skrg jg kedutan apalagi kl malam trasa skali tp ga skit bru kali ini sya kedutan apkah itu msa subur ato knp gtu trimakasih 
bumil,hamil ,dok saya lagi hamil dan alhmdllh sdh memasuki mnggu k tp saya tidak ska susu bumil klw mnum jd neg pgn mntah pakah ne brpengaruh buat janin saya trs pengganti susu bumil yg bagus pa mksh dok 
trakhir,terakhir,siang dok saya menikah tgl april hr stelh melakukan ml saya menstruasi dok tp wktu ml pertama tdk mngeluarkan darah sperti crta teman saya kebanyakan lalu stelah nmensruasi slesai ml lg dok tapi ini keluar darah tpi tidak banyak darahnya seperti darah mens trakhir apakah itu berbahaya dok lalu sudah hampir seminggu ini saya mual dan merasa sakit kepala n mudah lelah apa saya sudah ada tanda hamil 
obt,obat ,sore dok sy baru menikah bulan lalu sy ingin segera memiliki momongan akhrnya sy cek k dktr kandungan dn trnyata d saluran terdapat radang jadi sy diberi obt suntik o dokternya tp bulan maret ini sy tdk meminum obt yg dibrikan skr shrusnya sy dpt haid tgl tp trnyta mundur sehari dan haidnya hanya hari dan sdikit sekali kmudian ada lagi nanti tdk ada lagi sambil kadang disertainrasa nyeri perut bagian bawah kira sy knp ya dok krn sy tdk prnh sprti ini sblmnya trmkh dokter 
prnh,pernah ,sore dok sy baru menikah bulan lalu sy ingin segera memiliki momongan akhrnya sy cek k dktr kandungan dn trnyata d saluran terdapat radang jadi sy diberi obt suntik o dokternya tp bulan maret ini sy tdk meminum obt yg dibrikan skr shrusnya sy dpt haid tgl tp trnyta mundur sehari dan haidnya hanya hari dan sdikit sekali kmudian ada lagi nanti tdk ada lagi sambil kadang disertainrasa nyeri perut bagian bawah kira sy knp ya dok krn sy tdk prnh sprti ini sblmnya trmkh dokter 
kmrin,kemaren,ass bunda bunda sya mo tnya sudah hampir hari ini sya mrasakan pyudara sya skit trs akhr ni jga sya sering mrasa mual tp stlah sya tespack trnyta hasilnya ngatif msa prtama mens sya kmrin jga hnya hari bunda tnggl maret sya ingin priksakan ke bidan tp sya takut bgaimana ya bnda 
bgmn,bagimana,apakah boleh usg saat kehamilan memasuki minggu dan bgmn perkembangan bayi waktu di usia minggu tsb 
tespack,test pack,hai sya nikah bln november thn lalu terakhir haid tgl januari skrg sya telat hari dan sya ngalamin tnda hamil dan jg ada bercak pink kecoklatan tp sudah lima kali di tespack hasilnya negatif usg jg gak kliatan apa itu hamil 
slmt,selamat ,slmt mlm anak saya pr umur bln dia alergi sama udara dingin telur ikan laut bagaimana mengatasinya dan bekas gatal alergi meninggalkan bekas di kulitnya apakah bekasnya bisa hilang trima kasih
brapa,berapa,sy haid trakhir tgl juli skrga brapa usia khmilan sy skrg dan kpn kira lahiran nya
kmudian,kemudian,sore dok sy baru menikah bulan lalu sy ingin segera memiliki momongan akhrnya sy cek k dktr kandungan dn trnyata d saluran terdapat radang jadi sy diberi obt suntik o dokternya tp bulan maret ini sy tdk meminum obt yg dibrikan skr shrusnya sy dpt haid tgl tp trnyta mundur sehari dan haidnya hanya hari dan sdikit sekali kmudian ada lagi nanti tdk ada lagi sambil kadang disertainrasa nyeri perut bagian bawah kira sy knp ya dok krn sy tdk prnh sprti ini sblmnya trmkh dokter 
pnya,punya ,dok sya sdh thn mnkh dan blm pnya ank stlah mnkh haid sya hya brlgsng hr dan slalu maju hr lbh awal dr bln sblmnya dan hari pertama haid sll skt yg sya tnyakan apj ney penyebab sya blm hamil dan apa masa haid sya lancar trmksh
pdhal,padahal ,malam dok yg ingin sya tanyakan mengapa haid sya bulan ini tdk keluar pdhal biasanya selalu teratur sya menggunakan kb suntik bln dan saat ini baby sya berumur bln 
kedokter,dokter,dok anak saya sdh mu minggu ko batuk pileky g sembuh padahal udh saya bw kedokter n waktu itu mu sembuh eh pilek lg saya tkt klo ksh obt berlebihan solusi pa yg tepat y
debay,bayi,hai dok saat ini khamilan saya sdh mmasuki minggu k wktu umur minggu k kmrn saya mlakukan usg yg k n alhmdulillah kpala debay sdh msuk k pnggul n smuanx normal nmun kata dokter plasenta brada dbwah sbnarnx tdk brada tpat dbwah dok tpi brada dpinggiran jlan kluarnx bgtu kata dokter n kmungkinan klau tdk d cecar ya dpacu jujur saja saya mrasa khwatir tntng itu dok saya mnginginkan n brencana mlakukan prsalinan normal nmun ktika kmrn saya konsultasikan dgn bidan tmpt saya biasa cek khamilan itu tdk apa n yg prlu saya lakukan hnya jgn bnyk braktifitas yg brat n bnyak brdoa apa yg hrs saya lakukan dok jujur saja saya sngt mrasa khwatir akn hal itu mohon masukannx trimakasih
byk,banyak,saya ibu dr bayi bulan asi saya terkadang byk bgt tp terkadang dikit buat memperlancar asi apa ya dampaknya ada tdk klo saya sring minum pelancar asi itu 
kdang,kadang ,dok saya ber umhr th aku mau tanya aku dh nikah thn dn dtg bln saya teratur tiap bln kdang lambat mggu apa aku bs hamil ya jawaban dri dok aku tunggu makasih
mpasi,.,bagaimana utk mengembalikan kondisi spy pup bayi tdk keras lg karena sembelit mpasi 
mhn,mohon,umur bayiku bulan dr lahir smpai skrng nafasny msh suka bunyi ngik ngik apalagi kalau kj mimi apa itu benar biasa trjd pd by seumuran itu mhn infony mksi
tespeck,test pack,dok sy sudah mnikah hampir th namun belum juga hamil pernah sya telat hmpir bln sya tespeck positive tp hr kemudian keluar plek hitam sprti klo mau haid tp cm hr sminggu kmudian aya prksa ke bidan trnyata negatif apkh itu brpngruh pd ktrlmbtan sy untuk hamil 
tlg,tolong,pgi ank saya usia bln jln akhir ini ssah mknnya apa prlu sya ksi vitamin spya nafsu mknnya kmbli smntra nc ank saya sya ksi prolacta dha baby tlg bntu dya dok agar nfsu mkn anak sya kmbli terima kasih dok nbunda tiwi
haidnya,haid,saya haidnya tgl feb skrg sudah tgl maret waktu tgl feb aku cek negatif jadi sekarang takut aja ngecek lagi takut nrgatig lagi mba mksh sblmnya mba
kndungan,kandungan,met pg dok gmna cra mngtasi gatal pda perut saat hamil dan bila dgruk berbahayakah pda kndungan
sring,sering,saya ibu dr bayi bulan asi saya terkadang byk bgt tp terkadang dikit buat memperlancar asi apa ya dampaknya ada tdk klo saya sring minum pelancar asi itu 
mksih,trima kasih,hai bun saya mau tnya nie tentang masa subur kemaren saya priod tgl maret so saya mau tau masa subur nya hari ke berpa yh tp bulan nie aneh saya priod cuma hari sj mksih
apkh,apakah,siang dok baby aku umur bln udh hmpir minggu batuk berdahaknya gk ilang awal btuk smpet dbwa k dokter n ilang batuknya skrng batuk lg berdahak apa perlu untuk di uap untuk ngluarin dahaknya selain hrs minum obat apkh ada cara lain untuk mredakan batuknya terimakasih dok dtunggu jwbnnya 
stlah,setelah,dok sya sdh thn mnkh dan blm pnya ank stlah mnkh haid sya hya brlgsng hr dan slalu maju hr lbh awal dr bln sblmnya dan hari pertama haid sll skt yg sya tnyakan apj ney penyebab sya blm hamil dan apa masa haid sya lancar trmksh
apkah,apakah,siang dok dok sya prtma haid bln ini tggl dn brhnti tgll nah tgl itu sya berhubungan hri ini kok sya mrsakn dr smlm kok perut bag bwah sblh kiri kedutan dn kdg pindah k kanan p skrg jg kedutan apalagi kl malam trasa skali tp ga skit bru kali ini sya kedutan apkah itu msa subur ato knp gtu trimakasih 
bnyk,banyak,saya mau tnya begini bunda sy lg hamil minggu kebetulan keputihan sy bnyk bun kira klo pke pembalut untuk keputihan boleh ga y 
buln,bulan,dok saya mau tanya udah thn buln kami belum dkasih momongan trus saya pernah kb pil pertama hbis menikah apakh itu berpengaruh tapi saya jg pernh nyoba mnum obat penyubur jg tapi ko malh jd g tratur datng bulanny ya mohon infonya dok trims 
grok,.,mau tanya anak saya skrang umur bulan dari baru lahir nafas ny bunyi grok grok rupa ada lendir dbawa k puskesmas ktant gapapa nanti bulan dah ga tp smpe skrg msh bunyk ada yg blang bwa k rumah sakit sedot pake muchus ato slim seher mohon solusint trimakasi
hmpir,hampir,selamat pagi saya memiliki bayi berusia hmpir bln semenjak usia krg lbh bln bayi saya mulai agak susah minum susu semakin lama malah semakin sulit bayi saya minum susu formula sedari lahir krna asi saya tidak kluar sekarang dia hanya minum susu cc sktr kali sehari itupun harus agak dipaksa karena anak saya sepertinya tdk pernh merasa lapar anak saya jg sangat suka menghisap jempolnya sampai menangis klo dilarang bgmana ya supaya anal saya mau minum susu saya sfh coba bbrp merk susu tp blm bhasil skrg bayi saya mnum susu formula yg ha karrna sering muntah 
lgsg,langsung ,dok saya mau tanya minggu mei saya kluar flek spt keputihan yg berwarna coklat saya pikir mau mens jadwal mens trakhir april smpai senin mse kluar coklat aja slasa tidak kluar lagi saya coba tp hasilnya garis hari rabu kluar lg flek coklat saya lgsg k spog di rsud di usg d dan hasilny tdk ada apa dan kt dokter kmungkinan mau mens dsuruh datang lagi pas mens hari ke untuk dkasi penyubur kamis dan jumat mse kluar coklat sedikit dan dhari jumat itu saya coba tp hasilnya garis dgn garis mase samar sabtu tidak kluar sma skali hari ini minggu saya habis nyuci dan beres rumah kluar flek coklat lagi dan perut bawah trasa nyeri itu knp ya dok mohon penjelasannya trims
khmilan,hamil,soree sy baru sj hmil ank prtama usia khmilan sy smpai hr ni masih dlm minggu yg sy mau tanyakan pd usia brp minggukah produksi asi itu muncul sy coba tnyakan kpd ibuk n krbat soal ni mrk mnjawab biasanya bln bln khmilan sudah mulai muncul asi tp kok sy blm ada tnda tsb dan jg di usia minggu ini berat badan sy msih stabil kg apakah itu tdk mmpengaruhi janin sy normal atau tdk itu kmren saat usg doktr yg mnangani sy blng tdk apa tp sy masih bingung sekian pertanyaab dr sy mohon informasinya ya dok krn ni ank prtma sy sy jd blm bgtu bnyak mngetahui soal khmilaann terimakasii 
bdan,badan,gimana sih bun biar brat bdan naeg saya udh usaha semaksimal mungkin tp jg segini aja hamil udh bulan tp blm jg kliatan mlah saya srg bget diare 
amankah,aman ,selamat siang info bunda saya mau bertanya saat ini saya sedang hamil minggu tp saya masih menyusui anak saya yg pertama usia bulan amankah untuk janin saya dan sampai kapan batas waktu menyusui saat kehamilan terima kasih
trasa,terasa ,siang dok dok sya prtma haid bln ini tggl dn brhnti tgll nah tgl itu sya berhubungan hri ini kok sya mrsakn dr smlm kok perut bag bwah sblh kiri kedutan dn kdg pindah k kanan p skrg jg kedutan apalagi kl malam trasa skali tp ga skit bru kali ini sya kedutan apkah itu msa subur ato knp gtu trimakasih 
kdg,kadang ,siang dok dok sya prtma haid bln ini tggl dn brhnti tgll nah tgl itu sya berhubungan hri ini kok sya mrsakn dr smlm kok perut bag bwah sblh kiri kedutan dn kdg pindah k kanan p skrg jg kedutan apalagi kl malam trasa skali tp ga skit bru kali ini sya kedutan apkah itu msa subur ato knp gtu trimakasih 
mkan,makan ,dok anakku susah skli mkan maunya ngemil sja sy jd khawatir dok 
sempet,sempat,dr saya dina mau tanya saya sudah thn bln nikah dulu saya sempet hamil tapi keguguran trus sampai sekarang pernikahan saya blom hamil lagi semenjak itu siklus haid saya tdk teratur kadang maju hari kadang mundur sampai mgg dok trus lama haid hari dok mnurut dr therapy apa ya biar cepet hamil apa saya perlu hsg dan kpn saya harus melakukan hub sex makasih dokter
msuk,masuk,dok saya mau tanya saya hamil skrg uda msuk minggu punggung saya sering sakit apa emang biasax seperti itu ya dok maklum br anak pertama dok terima kasih dok 
folamil,.,mlm folamil genio bagus g dikonsumsi ibu hamil fungsi ny tuk apa dan umur kandungan kpn sebaikny diminum 
tnda,tanda,hai sya nikah bln november thn lalu terakhir haid tgl januari skrg sya telat hari dan sya ngalamin tnda hamil dan jg ada bercak pink kecoklatan tp sudah lima kali di tespack hasilnya negatif usg jg gak kliatan apa itu hamil 
nnya,tanya,dokter ini aq mo nnya gmna yah posisi yg bagus saat tidur soalnya aq susah tidur saat hamil ngak ada posisi yg tepat deh terus apa tdk berpengaruh sama bayi di dlm perut kalau tidurnya sering ganti posisi badan saat tidur 
dikuret,kuret,dok sya mu nanya diusia kandungan saya yg minggu hari sya ada kluar darh waktu saya kencing dan kluar flex tp dak banyak kata dokter kehamilan saya kosong dan harus dikuret tp saya gda merasa sakit pert seperti mulas atau kram gda yg saya bingung dulu saya emng da riwayt kuret juga tp waktu itu pert saya mules sakit trus darah flekya bayk sampai kluar darh trus hingga akhirya dokter bilng hrus kiret yg sya ingin tany knp kehamiln ini flek kluar sikit trus gda sakit pert sprti mulas tp knp dokter bilng saya hrus kiret 
ksih,kasih,selamat malam bun saya mau tanya saya pernah keguguran waktu umur kandungan bln sma dokter gak d kuret cuma d ksih obat aja slama satu bulan masih keluar darah dr kjadian itu smp skrg udh bln blm prnh dpt haid trus skrg sprti ada tanda hamil lagi yg jadi prtanyaan klo saya hamil berapa umur kandungan saya gimama cara menghitungnya krn setau saya umur khamilan d htung dari hpht mhon infonya terimakasih 
dkter,dokter,dok sya mu tnya tntang imunisasi skrg khmln sya mngnjak bln dri awal khmln sya prksa k dkter spog tp tdk prnh di imunisasi lalu prnh prksa ke bdn wktu usia khmln bln trs di imunisasi tp smpe usia khlmln bln ini bru x imunisasi kta bidan hrs nya udh x imunisasi prlu gk dok sya imunisasi lgi 
mkasih,trima kasih, anak sy umur bln sdh pernah imunisasi yg supaya tdk diare tp srh mengulang lg imunisasinya sm dokter nya tp tdk sy ulangi apa ada efek samping nya klau tdk di ulang lg mkasih
mnikah,nikah,saya br mnikah bulan desember wktu sy nkh br brs haid nah pas bln januari smpe skrg sy tdk dtng bln lg pas di tes hslx positif yg sy ingn tnykan kira usia kndungn sy skrg brp minggu y 
klw,kalau,dok saya lagi hamil dan alhmdllh sdh memasuki mnggu k tp saya tidak ska susu bumil klw mnum jd neg pgn mntah pakah ne brpengaruh buat janin saya trs pengganti susu bumil yg bagus pa mksh dok 
gmana,bagimana,gmana cara mengatasi batuk pilek pada bayi imir blan apa harus kdokter atau cukup banyak minum aja obat tradisional apa yang cocok makasih 
dokk,dokter ,dok saya baru nikah bulan selama ini siklus haid saya hari nah ini saya dah telat hr pagi ini saya tp muncul garis tp satunya warna pink satunya meraha gmn ni dok mohon jawaban nya yah dokk thanks heheheh maklum
pdahal,padahal ,dok aku nita usia th tujuh tahun lalu aku pernah mengalami hamil diluar kandungan dan menjalani operasi setelah satu tahun aku hamil anak pertama prematur kemudian hingga sekarang usia anak ku uda th dan aku berhenti kb pd usia anak ku th pertanyaanya mengapa hingga saat ni aku blum hamil lg pdahal sudah th brenti kb dan apakah kl udah mengalami operasi hamil diluar kandungan berarti salah satu dr saluran telur itu dipotong waktu tu aku sebelah kiri berarti tidak bisa punya anak perempuan apakah benar seperti itu mohon penjelasanya terimakasi
tlat,telat, hari tlat haid sdh tp hari ke hsl mnikh thn bln apa yg hrs dilakukan 
lbih,lebih,ass bunda saat ini usia khamilan saya minggu lbih hari saya memang mrasakan mual tp tidak seperti ibu hamil lain mual saya msh bisa d tahan dan bab saya pun lancar malah sudah hari ini sya lancar bab apakah kandungan saya ini tidak apa dok 
trnyata,ternyata,sore dok sy baru menikah bulan lalu sy ingin segera memiliki momongan akhrnya sy cek k dktr kandungan dn trnyata d saluran terdapat radang jadi sy diberi obt suntik o dokternya tp bulan maret ini sy tdk meminum obt yg dibrikan skr shrusnya sy dpt haid tgl tp trnyta mundur sehari dan haidnya hanya hari dan sdikit sekali kmudian ada lagi nanti tdk ada lagi sambil kadang disertainrasa nyeri perut bagian bawah kira sy knp ya dok krn sy tdk prnh sprti ini sblmnya trmkh dokter 
makasi,trima kasih,khalisa skr bln bb lahir gr bb skr hny kg tgg cm msh batas normalkah full asi ga mau sufor sama sekli sewaktu uumur bln pernah sakit batuk selama mggsejak itu bb nya susah banget naik tapi makan alhamdulillah doyan ditunggu jawabannya yaa makasi 
kyk,seperti ,doktr sy mau tanya skrg sy hmil minggu setiap hari saya merasakan gerakan kyk janin sy sedang ceegukan lamanya sktr menit itu tandanya ap 
sllu,selalu,dear meta ak sedang keingungan nih sebagai ibu baru babyku saat ini bulan n ak selalu memberikannya asi ekslusif slama bln ini naaah ini saatnya ak mulai masuk kerja slama ini ak sllu memompa asiku untuk perseiaan baby ku dirmh tp belakangan ternyata asiku agak berkurang sehingga hasil perah asiku sedikit alhasil babyku kekurangan asupan naaah aku mulai mencoba susu formula tambahan untuk pendamping apabila asiku sudah habis ternyata baby ku menolak susu formula tambahannya aku sudah coba beberapa susu formula tp babyku ttp menolak alhasil kalau ak tinggal kerja babyku hanya sedikit asupannya tp setelah aku puang langsung baby ak berikan asi dia amat senang tolong berikan solusinya ya susu formula apa yag baiknya aku berikan untuk tambahan asupannya thx regards shinta
ngeflek,flek,dok saya mau tanya bulan ini menstruasi saya aju mingguan awalny keluar flek hari itu pada waktu siang hari aj sewaktu dkerjaan soreny ga keluar gi slalu beberapa hari kemudian saya ngeflek lagi saya fikir itu menstruasi tpi lebih banyak flek dbanding darah menstruasiny sedikit sekali darah mensnya itu berlangsung selama harian baru selesai sekitar hari saya keluar seperti mens tpi hanya sedikit sekali warnany pink bukan merah darah seperti biasany saya bingung dok qra qra saya kenapa y dok
tnyakan,tanya ,dok sya sdh thn mnkh dan blm pnya ank stlah mnkh haid sya hya brlgsng hr dan slalu maju hr lbh awal dr bln sblmnya dan hari pertama haid sll skt yg sya tnyakan apj ney penyebab sya blm hamil dan apa masa haid sya lancar trmksh
tlong,tolong ,dok anak saya umur bulan udah minum susuformula trus leher bintik merah n daerah kening jg itu krn hawa yg panas to alergi susu tlong dibls ya makasih 
